# Title : in-situ observations catalog
# Description : catalogue of available in-situ observations per platform
# Project : MyOcean
# Format : 1.0
# Date of update : 201801240820
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_FinngrundetWR_20171225.nc,60.8992,60.9010,18.6080,18.6114,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-12T20:36:53Z,R,TEMP VAVH VZMD VEMH VZMX VPSP DEPH VPED VTPK VTZA VHM0
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Flinten7BS_20171225.nc,55.5914,55.5914,12.8443,12.8443,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-12T20:36:55Z,R,PSAL TEMP HCSP HCDT DEPH SVEL PRES DOX1
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Forsmark_20171225.nc,60.4086,60.4086,18.2108,18.2108,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-22T13:01:34Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Fredericia_20171225.nc,55.5667,55.5667,9.7500,9.7500,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:43Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Frederikshavn_20171225.nc,57.4333,57.4333,10.5667,10.5667,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:44Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Furuogrund_20171225.nc,64.9158,64.9158,21.2306,21.2306,2017-12-25T00:00:00Z,2017-12-25T23:00:00Z,SMHI,2018-01-20T01:01:35Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Fynshav_20171225.nc,55.0000,55.0000,9.9833,9.9833,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:45Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_Gedser_20171225.nc,54.5667,54.5667,11.9333,11.9333,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,DMI,2018-01-18T19:01:46Z,R,TEMP SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_GoteborgAgnesberg_20171225.nc,57.7897,57.7897,12.0100,12.0100,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-18T19:01:47Z,R,SLEV DEPH
COP-BO-01,ftp://cmems.smhi.se/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/latest/20171225/BO_LATEST_TS_MO_GoteborgEriksberg_20171225.nc,57.6967,57.6967,11.9089,11.9089,2017-12-25T00:00:00Z,2017-12-25T23:50:00Z,SMHI,2018-01-18T19:01:49Z,R,SLEV DEPH
